0,-12,4,0
0,-13,3,0
0,-13,2,0
0,-14,1,0
0,-14,0,0
0,-14,-1,0
0,-14,-2,0
0,-14,-3,0
0,-14,-4,0
0,-13,-5,0
0,-13,-6,0
0,-12,-7,0
0,-10,3,0
0,-10,2,0
0,-9,2,0
0,-8,1,0
0,-7,1,0
0,-5,1,0
0,-4,1,0
0,-6,0,0
0,-6,-1,0
0,-5,-2,0
0,-4,-2,0
0,-3,-1,0
0,-3,0,0
0,1,1,0
0,0,0,0
0,0,-1,0
0,-1,-2,0
0,-1,-3,0
0,0,-4,0
0,0,-5,0
0,1,-6,0
0,2,-6,0
0,3,-5,0
0,3,-4,0
0,4,-3,0
0,4,-2,0
0,4,-1,0
0,5,-4,0
0,5,-5,0
0,6,-6,0
0,7,-6,0
0,8,-5,0
0,8,-4,0
0,9,-3,0
0,9,-2,0
0,8,-1,0
0,8,0,0
0,7,1,0
0,11,0,0
0,11,-1,0
0,12,-2,0
0,13,-2,0
0,14,-1,0
0,14,0,0
0,13,1,0
0,12,1,0
0,15,1,0
0,16,1,0
0,17,2,0
0,18,2,0
0,18,3,0
0,20,4,0
0,21,3,0
0,21,2,0
0,22,1,0
0,22,0,0
0,22,-1,0
0,22,-2,0
0,22,-3,0
0,22,-4,0
0,21,-5,0
0,21,-6,0
0,20,-7,0
