わあああああああああああ
[BrockData]
0,-12,0
0,-11,0
0,-9,0
0,-8,0
0,-7,0
0,-6,0
0,-4,0
0,-3,0
0,-2,0
0,-1,0
0,1,0
0,2,0
0,3,0
0,4,0
0,-10,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
1,13,0
0,13,1
0,13,2
0,13,3
0,13,4
0,13,5
0,13,6
0,13,7
0,13,8
0,13,9
0,13,10
0,13,11
0,13,12
0,13,13
0,12,14
0,10,14
0,9,14
0,8,14
0,11,14
0,7,14
0,6,14
0,5,14
0,4,14
0,3,14
0,2,14
0,1,14
0,-1,14
0,-2,14
0,-3,14
0,-4,14
0,-5,14
0,-6,14
0,-7,14
0,-8,14
0,-9,14
0,-10,14
0,-11,14
0,-12,14
0,-12,-13
0,-11,-13
0,-10,-13
0,-9,-13
0,-8,-13
0,-7,-13
0,-6,-13
0,-5,-13
0,-4,-13
0,-3,-13
0,-2,-13
0,-1,-13
0,1,-13
0,2,-13
0,3,-13
0,4,-13
0,5,-13
0,6,-13
0,7,-13
0,8,-13
0,9,-13
0,10,-13
0,12,-13
0,11,-13
0,13,-11
0,13,-12
0,13,-10
0,13,-9
0,13,-7
0,13,-6
0,13,-5
0,13,-4
0,13,-3
0,13,-2
0,13,-1
0,13,-8
1,13,-13
1,13,14
1,-13,0
0,-13,1
0,-13,2
0,-13,3
0,-13,4
0,-13,5
0,-13,6
0,-13,7
0,-13,8
0,-13,9
0,-13,11
0,-13,12
0,-13,13
0,-13,10
1,-13,14
1,-13,-13
0,-13,-12
0,-13,-11
0,-13,-10
0,-13,-9
0,-13,-8
0,-13,-6
0,-13,-5
0,-13,-4
0,-13,-7
0,-13,-3
0,-13,-2
0,-13,-1
1,0,0
0,-5,0
0,5,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
1,0,14
0,0,-1
0,0,-2
0,0,-3
0,0,-4
0,0,-5
0,0,-6
0,0,-7
0,0,-8
0,0,-9
0,0,-10
0,0,-11
0,0,-12
1,0,-13
